job_id,job_title,company,location,job_description,required_skills,experience_level,stipend_rs,job_type,industry
J001,QA Engineer,Amazon,Bangalore,"QA Engineer position at Amazon in Bangalore for Mid level. Requires experience in Django, CI/CD, Power BI, SQL.","Django, CI/CD, Power BI, SQL",Mid,46579,Full-time,Cloud
J002,RPA Developer,Infosys,Bangalore,"RPA Developer position at Infosys in Bangalore for Fresher level. Requires experience in Power BI, Docker, Spring Boot, Flask.","Power BI, Docker, Spring Boot, Flask",Fresher,12623,Full-time,Cloud
J003,Business Analyst,Capgemini,Mumbai,"Business Analyst position at Capgemini in Mumbai for Junior level. Requires experience in Spring Boot, PostgreSQL, HTML, React, Azure.","Spring Boot, PostgreSQL, HTML, React, Azure",Junior,11703,Internship,Finance
J004,DevOps Engineer,Microsoft,Bangalore,"DevOps Engineer position at Microsoft in Bangalore for Fresher level. Requires experience in Linux, React, Java, CI/CD, TensorFlow, Power BI.","Linux, React, Java, CI/CD, TensorFlow, Power BI",Fresher,16763,Internship,E-Commerce
J005,Software Engineer,Infosys,Bangalore,"Software Engineer position at Infosys in Bangalore for Mid level. Requires experience in Java, Django, JavaScript, Kali Linux.","Java, Django, JavaScript, Kali Linux",Mid,60407,Contract,Cybersecurity
J006,Cybersecurity Analyst,Amazon,Remote,"Cybersecurity Analyst position at Amazon in Remote for Junior level. Requires experience in Flask, CSS, Kubernetes, UiPath, CI/CD, Docker, React.","Flask, CSS, Kubernetes, UiPath, CI/CD, Docker, React",Junior,82869,Full-time,Healthcare
J007,Business Analyst,Amazon,Chennai,"Business Analyst position at Amazon in Chennai for Junior level. Requires experience in MongoDB, React, Flask, Spring Boot, Power BI, JavaScript, HTML.","MongoDB, React, Flask, Spring Boot, Power BI, JavaScript, HTML",Junior,52834,Contract,Cloud
J008,Network Engineer,Google,Hyderabad,"Network Engineer position at Google in Hyderabad for Fresher level. Requires experience in Docker, Git, Spring Boot, HTML.","Docker, Git, Spring Boot, HTML",Fresher,13773,Internship,Healthcare
J009,DevOps Engineer,IBM,Mumbai,"DevOps Engineer position at IBM in Mumbai for Senior level. Requires experience in CI/CD, Power BI, React, Git, PostgreSQL.","CI/CD, Power BI, React, Git, PostgreSQL",Senior,46603,Full-time,Finance
J010,System Administrator,HCL,Mumbai,"System Administrator position at HCL in Mumbai for Mid level. Requires experience in SQL, Kali Linux, Java, AWS, Azure, Flask, Kubernetes.","SQL, Kali Linux, Java, AWS, Azure, Flask, Kubernetes",Mid,143569,Full-time,Consulting
J011,Data Scientist,Infosys,Chennai,"Data Scientist position at Infosys in Chennai for Fresher level. Requires experience in Tableau, React, Power BI, Python, Django, AWS, Kali Linux.","Tableau, React, Power BI, Python, Django, AWS, Kali Linux",Fresher,24526,Internship,Healthcare
J012,Data Scientist,EY,Remote,"Data Scientist position at EY in Remote for Mid level. Requires experience in TensorFlow, Python, CI/CD, React, Tableau.","TensorFlow, Python, CI/CD, React, Tableau",Mid,123971,Full-time,Finance
J013,Data Scientist,TCS,Chennai,"Data Scientist position at TCS in Chennai for Fresher level. Requires experience in Azure, CSS, Kali Linux, Kubernetes, Power BI.","Azure, CSS, Kali Linux, Kubernetes, Power BI",Fresher,21635,Contract,Finance
J014,Data Scientist,Capgemini,Bangalore,"Data Scientist position at Capgemini in Bangalore for Mid level. Requires experience in Automation Anywhere, UiPath, Node.js, JavaScript, Java, CI/CD.","Automation Anywhere, UiPath, Node.js, JavaScript, Java, CI/CD",Mid,39325,Internship,IT
J015,System Administrator,HCL,Bangalore,"System Administrator position at HCL in Bangalore for Fresher level. Requires experience in Azure, Django, PyTorch, Power BI, Kubernetes.","Azure, Django, PyTorch, Power BI, Kubernetes",Fresher,7267,Contract,Education
J016,Cybersecurity Analyst,Capgemini,Remote,"Cybersecurity Analyst position at Capgemini in Remote for Senior level. Requires experience in Django, Flask, CSS, TensorFlow, Tableau, CI/CD, AWS.","Django, Flask, CSS, TensorFlow, Tableau, CI/CD, AWS",Senior,91714,Full-time,Cloud
J017,DevOps Engineer,Wipro,Bangalore,"DevOps Engineer position at Wipro in Bangalore for Mid level. Requires experience in SQL, Spring Boot, Flask, Java.","SQL, Spring Boot, Flask, Java",Mid,67728,Full-time,Cloud
J018,DevOps Engineer,Amazon,Bangalore,"DevOps Engineer position at Amazon in Bangalore for Mid level. Requires experience in Docker, Power BI, Azure, CI/CD, Git, Spring Boot, PyTorch.","Docker, Power BI, Azure, CI/CD, Git, Spring Boot, PyTorch",Mid,83001,Full-time,Cloud
J019,DevOps Engineer,IBM,Remote,"DevOps Engineer position at IBM in Remote for Senior level. Requires experience in CSS, PostgreSQL, UiPath, TensorFlow, Java, Django, Flask.","CSS, PostgreSQL, UiPath, TensorFlow, Java, Django, Flask",Senior,35409,Full-time,E-Commerce
J020,QA Engineer,Amazon,Bangalore,"QA Engineer position at Amazon in Bangalore for Senior level. Requires experience in Docker, Power BI, TensorFlow, Azure, PostgreSQL.","Docker, Power BI, TensorFlow, Azure, PostgreSQL",Senior,38644,Contract,Cybersecurity
J021,Cloud Engineer,EY,Mumbai,"Cloud Engineer position at EY in Mumbai for Junior level. Requires experience in Flask, Power BI, Automation Anywhere, Python.","Flask, Power BI, Automation Anywhere, Python",Junior,35666,Full-time,Education
J022,Software Engineer,Wipro,Hyderabad,"Software Engineer position at Wipro in Hyderabad for Senior level. Requires experience in Java, Kubernetes, MongoDB, Python, Kali Linux, React, TensorFlow.","Java, Kubernetes, MongoDB, Python, Kali Linux, React, TensorFlow",Senior,66032,Internship,Education
J023,Cybersecurity Analyst,Infosys,Delhi,"Cybersecurity Analyst position at Infosys in Delhi for Senior level. Requires experience in Java, Git, CI/CD, Power BI, HTML.","Java, Git, CI/CD, Power BI, HTML",Senior,87780,Full-time,Cloud
J024,Data Analyst,Google,Chennai,"Data Analyst position at Google in Chennai for Senior level. Requires experience in Kubernetes, SQL, Linux, Django.","Kubernetes, SQL, Linux, Django",Senior,24910,Contract,Consulting
J025,Network Engineer,Wipro,Mumbai,"Network Engineer position at Wipro in Mumbai for Fresher level. Requires experience in Linux, SQL, PostgreSQL, Django.","Linux, SQL, PostgreSQL, Django",Fresher,23970,Contract,Cloud
J026,RPA Developer,HCL,Chennai,"RPA Developer position at HCL in Chennai for Mid level. Requires experience in React, MongoDB, Azure, Django, Flask.","React, MongoDB, Azure, Django, Flask",Mid,92361,Internship,Cloud
J027,Cybersecurity Analyst,IBM,Pune,"Cybersecurity Analyst position at IBM in Pune for Fresher level. Requires experience in SQL, Power BI, Docker, Tableau.","SQL, Power BI, Docker, Tableau",Fresher,23448,Full-time,Education
J028,Cybersecurity Analyst,TCS,Pune,"Cybersecurity Analyst position at TCS in Pune for Fresher level. Requires experience in TensorFlow, Automation Anywhere, Power BI, Spring Boot, Node.js.","TensorFlow, Automation Anywhere, Power BI, Spring Boot, Node.js",Fresher,14338,Full-time,Cybersecurity
J029,RPA Developer,Capgemini,Bangalore,"RPA Developer position at Capgemini in Bangalore for Mid level. Requires experience in AWS, Automation Anywhere, CI/CD, Power BI, Azure, React.","AWS, Automation Anywhere, CI/CD, Power BI, Azure, React",Mid,45203,Contract,E-Commerce
J030,Cybersecurity Analyst,HCL,Hyderabad,"Cybersecurity Analyst position at HCL in Hyderabad for Mid level. Requires experience in React, Java, SQL, Flask, PostgreSQL, Automation Anywhere, UiPath.","React, Java, SQL, Flask, PostgreSQL, Automation Anywhere, UiPath",Mid,142489,Full-time,Finance
J031,Data Analyst,Microsoft,Remote,"Data Analyst position at Microsoft in Remote for Junior level. Requires experience in Power BI, Spring Boot, PostgreSQL, Automation Anywhere, Python, AWS, SQL.","Power BI, Spring Boot, PostgreSQL, Automation Anywhere, Python, AWS, SQL",Junior,52357,Contract,Finance
J032,System Administrator,TCS,Chennai,"System Administrator position at TCS in Chennai for Fresher level. Requires experience in Java, Node.js, CSS, UiPath, Docker.","Java, Node.js, CSS, UiPath, Docker",Fresher,19083,Internship,Consulting
J033,QA Engineer,Wipro,Delhi,"QA Engineer position at Wipro in Delhi for Fresher level. Requires experience in Kubernetes, UiPath, PostgreSQL, Python, CI/CD.","Kubernetes, UiPath, PostgreSQL, Python, CI/CD",Fresher,10064,Internship,Healthcare
J034,System Administrator,Microsoft,Remote,"System Administrator position at Microsoft in Remote for Senior level. Requires experience in UiPath, Spring Boot, AWS, MongoDB, Java.","UiPath, Spring Boot, AWS, MongoDB, Java",Senior,79941,Contract,Cloud
J035,Network Engineer,IBM,Hyderabad,"Network Engineer position at IBM in Hyderabad for Junior level. Requires experience in JavaScript, Python, Django, Docker, MongoDB.","JavaScript, Python, Django, Docker, MongoDB",Junior,90003,Internship,Cybersecurity
J036,AI/ML Engineer,EY,Remote,"AI/ML Engineer position at EY in Remote for Fresher level. Requires experience in Django, Power BI, HTML, Python, AWS, React, Kubernetes.","Django, Power BI, HTML, Python, AWS, React, Kubernetes",Fresher,21692,Internship,Cybersecurity
J037,RPA Developer,EY,Bangalore,"RPA Developer position at EY in Bangalore for Fresher level. Requires experience in PostgreSQL, Linux, Tableau, AWS, MongoDB, Git.","PostgreSQL, Linux, Tableau, AWS, MongoDB, Git",Fresher,16327,Contract,Healthcare
J038,DevOps Engineer,EY,Bangalore,"DevOps Engineer position at EY in Bangalore for Senior level. Requires experience in SQL, Django, HTML, Linux, Kali Linux, UiPath, AWS.","SQL, Django, HTML, Linux, Kali Linux, UiPath, AWS",Senior,105478,Full-time,Cloud
J039,Business Analyst,EY,Chennai,"Business Analyst position at EY in Chennai for Mid level. Requires experience in Spring Boot, Node.js, Power BI, Azure, Docker, PostgreSQL, MongoDB.","Spring Boot, Node.js, Power BI, Azure, Docker, PostgreSQL, MongoDB",Mid,95506,Contract,Healthcare
J040,QA Engineer,TCS,Chennai,"QA Engineer position at TCS in Chennai for Mid level. Requires experience in Docker, PostgreSQL, Git, Linux, Flask, HTML.","Docker, PostgreSQL, Git, Linux, Flask, HTML",Mid,89658,Internship,IT
J041,Backend Developer,IBM,Mumbai,"Backend Developer position at IBM in Mumbai for Junior level. Requires experience in Node.js, Tableau, Django, Flask.","Node.js, Tableau, Django, Flask",Junior,54483,Contract,Education
J042,RPA Developer,Microsoft,Bangalore,"RPA Developer position at Microsoft in Bangalore for Junior level. Requires experience in Azure, Python, Java, JavaScript, PyTorch.","Azure, Python, Java, JavaScript, PyTorch",Junior,68888,Contract,Finance
J043,RPA Developer,Amazon,Mumbai,"RPA Developer position at Amazon in Mumbai for Senior level. Requires experience in MongoDB, JavaScript, Azure, Flask, Spring Boot, Python, AWS.","MongoDB, JavaScript, Azure, Flask, Spring Boot, Python, AWS",Senior,110657,Contract,Cloud
J044,Data Scientist,Infosys,Hyderabad,"Data Scientist position at Infosys in Hyderabad for Junior level. Requires experience in AWS, TensorFlow, Azure, UiPath, Django.","AWS, TensorFlow, Azure, UiPath, Django",Junior,23164,Contract,Education
J045,Full Stack Developer,Capgemini,Chennai,"Full Stack Developer position at Capgemini in Chennai for Mid level. Requires experience in CI/CD, PyTorch, TensorFlow, React, Kali Linux.","CI/CD, PyTorch, TensorFlow, React, Kali Linux",Mid,126893,Internship,Healthcare
J046,DevOps Engineer,EY,Remote,"DevOps Engineer position at EY in Remote for Senior level. Requires experience in SQL, Spring Boot, Node.js, JavaScript, React, HTML, Django.","SQL, Spring Boot, Node.js, JavaScript, React, HTML, Django",Senior,81984,Contract,Cloud
J047,System Administrator,Capgemini,Bangalore,"System Administrator position at Capgemini in Bangalore for Junior level. Requires experience in Spring Boot, Docker, SQL, PostgreSQL, HTML.","Spring Boot, Docker, SQL, PostgreSQL, HTML",Junior,110410,Full-time,Cloud
J048,Full Stack Developer,IBM,Mumbai,"Full Stack Developer position at IBM in Mumbai for Fresher level. Requires experience in Kali Linux, Git, MongoDB, PyTorch.","Kali Linux, Git, MongoDB, PyTorch",Fresher,17762,Full-time,Healthcare
J049,Data Analyst,Microsoft,Pune,"Data Analyst position at Microsoft in Pune for Senior level. Requires experience in React, PostgreSQL, PyTorch, Python, MongoDB.","React, PostgreSQL, PyTorch, Python, MongoDB",Senior,137986,Internship,Cloud
J050,AI/ML Engineer,Infosys,Delhi,"AI/ML Engineer position at Infosys in Delhi for Junior level. Requires experience in Git, Automation Anywhere, Django, Python, SQL, Flask, PostgreSQL.","Git, Automation Anywhere, Django, Python, SQL, Flask, PostgreSQL",Junior,17069,Internship,Consulting
